10/07/2021;vazao_gas_in.out;vazao_ve21_in.out;vel_alim_in.out;tempsaida_sp.out;tempcl_sp.out;tempcv_sp.out;tempsaida_pv.out;tempcl_pv.out;tempcv_pv.out;tempe_pv.out;vazao_gas_in2.out;vazao_ve21_in2.out;tempsaida_pv2.out;tempcl_pv2.out;tempcv_pv2.out;tempe_pv2.out;tc2402_smith.out;smith_lag_tc2403.out;tc2403_smith.out;tc2401.out;tc2402.out;tc2403.out;ff_ll_tc2403.out;ff_tc2403.out;dscpld_ll_tc2403.out;dscpld_tc2403.out;dscpld_tc2402.out;sum_ff_tc2403.out;tc24012.out;tc24022.out;tc24032.out;tc2401_out.out;vazao_gas_out.out;vazao_ve21_out.out;vel_alim_out.out;vazao_gas_out2.out;vazao_ve21_out2.out
00:00:01;709.042;11880.1;1033.7;121.9;0;700;121.9;100;719.66;102.89;709.17;11882.2;121.9;100;719.66;102.89;719.66;121.9;121.9;nan;11880.8;709.026;1033.7;1033.7;11879.2;11873.9;706.441;12907.6;nan;11883.2;709.17;1033.7;709.026;11880.8;1033.7;709.17;11882.2
00:00:02;708.892;11886.5;1033.7;121.9;0;700;121.9;100;719.66;102.89;709.17;11891.4;121.9;100;719.66;102.89;719.66;121.9;121.9;nan;11887.2;708.875;1033.7;1033.7;11884;11873.7;703.55;12907.4;nan;11892.5;709.17;1033.7;708.875;11887.2;1033.7;709.17;11892.5
00:00:03;708.74;11892.8;1033.7;121.9;0;700;121.9;100;719.66;102.89;709.17;11900.6;121.9;100;719.66;102.89;719.66;121.9;121.9;nan;11893.5;708.723;1033.7;1033.7;11888.9;11873.6;700.641;12907.3;nan;11901.7;709.17;1033.7;708.723;11893.5;1033.7;709.17;11901.7
00:00:04;708.588;11899.1;1033.7;121.9;0;700;121.9;100;719.66;102.89;709.17;11909.9;121.9;100;719.66;102.89;719.66;121.9;121.9;nan;11899.8;708.571;1033.7;1033.7;11893.7;11873.4;697.707;12907.1;nan;11910.9;709.17;1033.7;708.571;11899.8;1033.7;709.17;11910.9
00:00:05;708.436;11905.3;1033.7;121.9;0;700;121.9;100;719.66;102.89;709.17;11919.1;121.9;100;719.66;102.89;719.66;121.9;121.9;nan;11906;708.419;1033.7;1033.7;11898.5;11873.3;694.748;12907;nan;11920.1;709.17;1033.7;708.419;11906;1033.7;709.17;11920.1
00:00:06;708.283;11911.6;1033.7;121.9;0;700;121.9;100;719.66;102.89;709.17;11928.3;121.9;100;719.66;102.89;719.66;121.9;121.9;nan;11912.2;708.266;1033.7;1033.7;11903.4;11873.1;691.765;12906.8;nan;11929.3;709.17;1033.7;708.266;11912.2;1033.7;709.17;11929.3
00:00:07;708.112;11918.5;1033.7;121.9;0;700;121.9;100;719.66;102.89;709.17;11938.5;121.9;100;719.66;102.89;719.66;121.9;121.9;nan;11919.1;708.095;1033.7;1033.7;11908.7;11872.9;688.421;12906.6;nan;11939.6;709.17;1033.7;708.095;11919.1;1033.7;709.17;11938.5
00:00:08;707.958;11924.6;1033.7;121.9;0;700;121.9;100;719.66;102.89;709.17;11947.7;121.9;100;719.66;102.89;719.66;121.9;121.9;nan;11925.3;707.941;1033.7;1033.7;11913.5;11872.8;685.386;12906.5;nan;11948.8;709.17;1033.7;707.941;11925.3;1033.7;709.17;11948.8
00:00:09;707.804;11930.8;1033.7;121.9;0;700;121.9;100;719.66;102.89;709.17;11957;121.9;100;719.66;102.89;719.66;121.9;121.9;nan;11931.5;707.786;1033.7;1033.7;11918.4;11872.6;682.327;12906.3;nan;11958;709.17;1033.7;707.786;11931.5;1033.7;709.17;11958
00:00:10;707.632;11937.6;1033.7;121.9;0;700;121.9;100;719.66;102.89;709.17;11967.2;121.9;100;719.66;102.89;719.66;121.9;121.9;nan;11938.3;707.614;1033.7;1033.7;11923.7;11872.5;678.9;12906.2;nan;11968.2;709.17;1033.7;707.614;11938.3;1033.7;709.17;11968.2
